Element;Categorie;Sous_categorie;Phase;Propriété;IFC_Reference;Revit_Param;Requis
Appareil électrique;Informations alphanumériques;Niveau objet;PDE;Nom objet ;IfcRoot.Name;IfcName;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXE;Nom objet ;IfcRoot.Name;IfcName;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXP;Nom objet ;IfcRoot.Name;IfcName;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;APD;Statut ;ePset_ElectricApplianceTypeCommon.Status;Phase Created;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;PDE;Statut ;ePset_ElectricApplianceTypeCommon.Status;Phase Created;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXE;Statut ;ePset_ElectricApplianceTypeCommon.Status;Phase Created;Oui
Appareil électrique;Informations alphanumériques;Niveau objet;EXP;Statut ;ePset_ElectricApplianceTypeCommon.Status;Phase Created;Oui
Appareil électrique;Documentation;Descriptifs;APD;Prescriptions;;;Oui
Appareil électrique;Documentation;Descriptifs;PDE;Prescriptions;;;Oui
Appareil électrique;Documentation;Descriptifs;EXE;Prescriptions;;;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXE;Fiche technique;;;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXP;Fiche technique;;;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;PDE;Protocole de communication;;;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXE;Protocole de communication;;;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXP;Protocole de communication;;;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXE;Notice de montage;;;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXP;Notice de montage;;;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXE;Protocole de mesure;;;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXP;Protocole de mesure;;;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXE;Notice de maintenance;;;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXP;Notice de maintenance;;;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXE;Carnet d'entretien;;;Oui
Appareil électrique;Documentation;Maintenance et fiches techniques;EXP;Carnet d'entretien;;;Oui
Appareil électrique;Documentation;Plans et schémas;PDE;Schéma unifilaire;;;Oui
Appareil électrique;Documentation;Plans et schémas;EXE;Schéma unifilaire;;;Oui
Appareil électrique;Documentation;Plans et schémas;EXP;Schéma unifilaire;;;Oui
Appareil électrique;Documentation;Plans et schémas;EXE;Déclaration de performance environnementale;;;Oui
Appareil électrique;Classification;Uniformat II 2010;Toutes;D5030.50 – Wiring Devices;;;Oui
Appareil électrique;Classification;DIN276;Toutes;KG449 – Sonstige zur Elektrische Anlagen;;;Oui
Armoire protection incendie;Informations alphanumériques;Niveau objet;APD;Statut de rénovation (Archicad) ;ePset_FireSuppressionTerminalTypeCommon.Status;-;Oui
Armoire protection incendie;Informations alphanumériques;Niveau objet;PDE;Statut de rénovation (Archicad) ;ePset_FireSuppressionTerminalTypeCommon.Status;-;Oui
Armoire protection incendie;Informations alphanumériques;Niveau objet;EXE;Statut de rénovation (Archicad) ;ePset_FireSuppressionTerminalTypeCommon.Status;-;Oui
