Element,Categorie,Sous_categorie,Phase,Type de document,Propriété,Paramètre IFC,Paramètre Revit_ENG,Nom,IFC Type,Catégorie Revit,Classification,Numéro - Description
Appareil électrique,Classe et type IFC,,Toutes,,,,,Micro-onde,IfcElectricApplianceType.MICROWAVE,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Photocopieur,IfcElectricApplianceType.PHOTOCOPIER,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Plaque de cuisson,IfcElectricApplianceType.ELECTRICCOOKER,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Taque de cuisson,IfcElectricApplianceType.ELECTRICCOOKER,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Robot de cuisine,IfcElectricApplianceType.USERDEFINED[KITCHENMACHINE],Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Sèche-cheveux fixe,IfcElectricApplianceType.USERDEFINED[HAIRDRYER],Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Sèche-main,IfcElectricApplianceType.HANDDRYER,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Four,IfcElectricApplianceType.USERDEFINED[OVEN],Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Machine à laver,IfcElectricApplianceType.WASHINGMACHINE,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Lave-linge,IfcElectricApplianceType.WASHINGMACHINE,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Sèche-linge,IfcElectricApplianceType.TUMBLEDRYER,Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Distributeur de billets,IfcElectricApplianceType.USERDEFINED[ATM],Electrical Equipment,,
Appareil électrique,Classe et type IFC,,Toutes,,,,,Fontaine à eau,IfcElectricApplianceType.WATERCOOLER,Electrical Equipment,,
Appareil électrique,Informations alphanumériques,Niveau objet,APD,,Statut de rénovation (Archicad),ePset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,PDE,,Statut de rénovation (Archicad),ePset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXE,,Statut de rénovation (Archicad),ePset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXP,,Statut de rénovation (Archicad),ePset_ElectricApplianceTypeCommon.Status,-,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,APD,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,PDE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXE,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXP,,Classe IFC,IFC Class,Export Type to IFC As,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,APD,,Type IFC,IfcElectricApplianceType.PredefinedType,Type IFC Predefined Type,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,PDE,,Type IFC,IfcElectricApplianceType.PredefinedType,Type IFC Predefined Type,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXE,,Type IFC,IfcElectricApplianceType.PredefinedType,Type IFC Predefined Type,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXP,,Type IFC,IfcElectricApplianceType.PredefinedType,Type IFC Predefined Type,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,APD,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,PDE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXE,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXP,,Type IFC personnalisé,IfcObject.ObjectType,Objecttype,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,APD,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,PDE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXE,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXP,,Nom objet,IfcRoot.Name,IfcName,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,APD,,Statut,ePset_ElectricApplianceTypeCommon.Status,Phase Created,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,PDE,,Statut,ePset_ElectricApplianceTypeCommon.Status,Phase Created,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXE,,Statut,ePset_ElectricApplianceTypeCommon.Status,Phase Created,,,,,
Appareil électrique,Informations alphanumériques,Niveau objet,EXP,,Statut,ePset_ElectricApplianceTypeCommon.Status,Phase Created,,,,,
Appareil électrique,Documentation,Descriptifs,APD,Prescriptions,,,,,,,,
Appareil électrique,Documentation,Descriptifs,PDE,Prescriptions,,,,,,,,
